Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
15.483333,38.25,ERI,Érythrée,,0,0,0,0,3473399.0,693535954,,0,0,0,0,3939348.0,706370816,,0,1,0,1,4665522.0,1109054005,,0,0,0,0,5382163.0,1380188800,,0,0,0,0,6130922.0,,,0,0,0,0,,,
40.2,-3.5,ESP,Espagne,ESP,23,16,18,57,3.9478186E7,642588992513,0.0149873231486906,18,15,2,35,4.0263216E7,598363313495,0.0131203008099085,3,14,6,23,4.2921895E7,1069055675274,0.0140789842652806,13,37,6,56,4.5954106E7,1631863493552,0.0182958538711053,23,27,4,54,4.6773055E7,1324750738725,0.00116380677316145,14,19,8,41,,1233554967012,3.5911800617683E-4
59.0,26.0,EST,Estonie,EST,0,0,0,0,,4786018988,0.03233722014038161,1,0,1,2,,5686579748,0.034350619364351506,2,1,0,3,,12145911801,0.040194447029753104,1,1,1,3,,24341678629,0.04615457751712439,1,1,0,2,,23019150071,0.0347720477387285,3,0,0,3,1315944.0,24072829277,0.0434984527241711
9.0,40.0,ETH,Éthiopie,ETH,1,0,2,3,5.8815116E7,8547939731,,1,1,4,6,6.6024199E7,8242349618,,2,1,2,5,7.4066147E7,10131187261,,2,0,3,5,8.262119E7,27066912635,,1,1,3,5,9.1728849E7,43310721414,,4,1,0,5,,74296745208,0.0180780283571802
-18.0,178.0,FIJ,Fidji,,0,0,0,0,784647.0,,,0,0,0,0,811647.0,,,0,0,0,0,818995.0,,,0,0,0,0,843851.0,,,0,0,0,0,874742.0,,,0,0,9,9,915303.0,,
65.0,27.0,FIN,Finlande,FIN,1,2,1,4,5124573.0,132129174217,,2,1,2,5,5176209.0,126019543413,,0,2,0,2,5228172.0,197479443979,0.0566900565640787,1,2,1,4,5313399.0,285716311137,0.0540498803181222,3,1,0,4,5413971.0,258290060228,0.0746131309161995,1,0,0,1,5501043.0,240771351299,0.0689598102226023
47.0,2.0,FRA,France,FRA,17,6,14,37,5.975202E7,1605675086550,0.0321257624178888,15,22,21,58,6.0911057E7,1365639660792,0.0386991616985158,19,7,16,42,6.2702121E7,2119633181634,0.051038163306864504,18,20,20,58,6.4371099E7,2930303780828,0.0541964886216485,19,21,24,64,6.564957E7,2683671716967,0.05903378201114129,19,44,13,76,6.6628E7,2472964344587,0.054244853363436
-0.683330555,11.5,GAB,Gabon,,0,0,0,0,1108698.0,5694040003,,0,0,0,0,1225527.0,5080483629,,0,0,0,0,1347125.0,7770219008,,0,0,0,0,1482843.0,15571348344,,0,0,1,1,1632572.0,17170464016,,0,0,0,0,,14023890265,
54.6,-2.0,GBR,Royaume-Uni,GBR,10,12,1,23,5.816695E7,1419645865835,0.0145952079433047,11,16,16,43,5.8892514E7,1665534876683,0.0260638264058347,11,20,16,47,5.9987905E7,2421525082387,0.0403500022668541,17,20,27,64,6.1806995E7,2929411764706,0.011619470796752098,34,26,39,99,6.3705E7,2707089726615,0.011632922630266301,29,41,45,115,6.5102385E7,2689106566900,0.0315585050171021
51.0,10.0,GER,Allemagne,DEU,30,25,39,94,8.2012E7,,,48,19,23,90,8.226E7,,0.034081049172865995,48,40,35,123,8.2501E7,,0.0297765323621449,35,14,35,84,8.2002E7,,0.029837148388566197,18,23,38,79,8.05E7,,0.0262593295474828,52,35,39,126,8.2521653E7,,0.023510721782348802
